npv, moves first, value, expanded nodes, generated nodes, seconds, generated/seconds
34, White, -4, 0, 1,1.00001e-06, 999992
33, Black, -4, 1, 2,1.00001e-06, 1.99998e+06
32, White, -4, 4, 6,3.00002e-06, 1.99998e+06
31, Black, -4, 5, 7,2.00002e-06, 3.49997e+06
30, White, -4, 10, 14,3.00002e-06, 4.66663e+06
29, Black, -4, 11, 15,3.00002e-06, 4.99996e+06
28, White, -4, 58, 86,1.50001e-05, 5.73329e+06
27, Black, -4, 120, 184,3.29998e-05, 5.57579e+06
26, White, -4, 284, 444,8.19997e-05, 5.41465e+06
25, Black, -4, 483, 793,0.000142, 5.58452e+06
24, White, -4, 695, 1134,0.000563, 2.01421e+06
23, Black, -4, 4382, 7168,0.002544, 2.81761e+06
22, White, -4, 13838, 22827,0.007586, 3.0091e+06
21, Black, -4, 25043, 41520,0.0136, 3.05294e+06
20, White, -4, 96100, 162103,0.053693, 3.01907e+06
19, Black, -4, 419503, 717074,0.237439, 3.02003e+06
18, White, -4, 3215996, 5513929,1.77584, 3.10497e+06
17, Black, -4, 8901812, 15208392,4.84015, 3.14213e+06
16, White, -4, 37045642, 63032052,20.025, 3.14767e+06
15, Black, -4, 109301007, 185632378,58.5604, 3.16993e+06
14, White, -4, 2194183932, 3713452198,1163.51, 3.1916e+06


